participant_id,onset,duration,sample,trial_type,stim_file,value,N170
sub-001_task-N170_eeg,335.1514,0.3000,343196,stimulus,NA,58,11.8531
sub-001_task-N170_eeg,338.1006,0.3000,346216,stimulus,NA,25,NA
sub-001_task-N170_eeg,339.5166,0.3000,347666,stimulus,NA,31,NA
sub-001_task-N170_eeg,341.0664,0.3000,349253,stimulus,NA,74,3.7674
sub-001_task-N170_eeg,342.6328,0.3000,350857,stimulus,NA,50,18.2326
sub-001_task-N170_eeg,345.4482,0.3000,353740,stimulus,NA,67,6.5737
sub-001_task-N170_eeg,347.0137,0.3000,355343,stimulus,NA,24,NA
sub-001_task-N170_eeg,349.9131,0.3000,358312,stimulus,NA,62,7.6214
sub-001_task-N170_eeg,351.4961,0.3000,359933,stimulus,NA,20,21.9829
sub-001_task-N170_eeg,353.0615,0.3000,361536,stimulus,NA,36,5.8076
sub-001_task-N170_eeg,354.6445,0.3000,363157,stimulus,NA,41,-2.6958
sub-001_task-N170_eeg,357.7266,0.3000,366313,stimulus,NA,2,1.3436
sub-001_task-N170_eeg,369.4395,0.3000,378307,stimulus,NA,8,8.2525
sub-001_task-N170_eeg,372.5879,0.3000,381531,stimulus,NA,40,8.6097
sub-001_task-N170_eeg,375.4873,0.3000,384500,stimulus,NA,23,-3.4688
sub-001_task-N170_eeg,408.3086,0.3000,418109,stimulus,NA,78,10.1419
sub-001_task-N170_eeg,409.7588,0.3000,419594,stimulus,NA,10,4.8844
sub-001_task-N170_eeg,414.2402,0.3000,424183,stimulus,NA,22,-7.9920
sub-001_task-N170_eeg,415.6396,0.3000,425616,stimulus,NA,60,1.1924
sub-001_task-N170_eeg,417.1221,0.3000,427134,stimulus,NA,74,-8.3936
sub-001_task-N170_eeg,420.1543,0.3000,430239,stimulus,NA,39,9.0342
sub-001_task-N170_eeg,421.7041,0.3000,431826,stimulus,NA,59,6.5430
sub-001_task-N170_eeg,423.1865,0.3000,433344,stimulus,NA,18,NA
sub-001_task-N170_eeg,424.7363,0.3000,434931,stimulus,NA,43,NA
sub-001_task-N170_eeg,429.4180,0.3000,439725,stimulus,NA,37,NA
sub-001_task-N170_eeg,431.0176,0.3000,441363,stimulus,NA,31,-21.5652
sub-001_task-N170_eeg,432.4502,0.3000,442830,stimulus,NA,61,7.8040
sub-001_task-N170_eeg,433.8994,0.3000,444314,stimulus,NA,66,-14.1696
sub-001_task-N170_eeg,435.4658,0.3000,445918,stimulus,NA,58,18.3192
sub-001_task-N170_eeg,436.8818,0.3000,447368,stimulus,NA,56,8.6633
sub-001_task-N170_eeg,438.4814,0.3000,449006,stimulus,NA,6,4.0635
sub-001_task-N170_eeg,441.4639,0.3000,452060,stimulus,NA,19,-13.5198
sub-001_task-N170_eeg,447.2451,0.3000,457980,stimulus,NA,70,NA
sub-001_task-N170_eeg,448.6777,0.3000,459447,stimulus,NA,54,NA
sub-001_task-N170_eeg,454.5254,0.3000,465435,stimulus,NA,75,-3.6806
sub-001_task-N170_eeg,457.7080,0.3000,468694,stimulus,NA,67,7.6743
sub-001_task-N170_eeg,459.3076,0.3000,470332,stimulus,NA,4,3.9701
sub-001_task-N170_eeg,460.8896,0.3000,471952,stimulus,NA,24,-2.1577
sub-001_task-N170_eeg,462.3564,0.3000,473454,stimulus,NA,45,8.9406
sub-001_task-N170_eeg,463.8721,0.3000,475006,stimulus,NA,80,3.7783
sub-001_task-N170_eeg,467.0049,0.3000,478214,stimulus,NA,34,-1.5335
sub-001_task-N170_eeg,475.4180,0.3000,486829,stimulus,NA,3,13.7739
sub-001_task-N170_eeg,479.8838,0.3000,491402,stimulus,NA,63,-5.9438
sub-001_task-N170_eeg,482.8652,0.3000,494455,stimulus,NA,41,3.9954
sub-001_task-N170_eeg,485.7812,0.3000,497441,stimulus,NA,50,-4.6773
sub-001_task-N170_eeg,487.3809,0.3000,499079,stimulus,NA,55,24.2237
sub-001_task-N170_eeg,492.0293,0.3000,503839,stimulus,NA,42,10.2417
sub-001_task-N170_eeg,493.6279,0.3000,505476,stimulus,NA,10,12.5968
sub-001_task-N170_eeg,495.1777,0.3000,507063,stimulus,NA,9,-2.7402
sub-001_task-N170_eeg,496.6777,0.3000,508599,stimulus,NA,57,NA
sub-001_task-N170_eeg,498.1602,0.3000,510117,stimulus,NA,71,2.0429
sub-001_task-N170_eeg,501.2588,0.3000,513290,stimulus,NA,76,19.7733
sub-001_task-N170_eeg,502.8086,0.3000,514877,stimulus,NA,28,2.6641
sub-001_task-N170_eeg,508.7559,0.3000,520967,stimulus,NA,39,7.7582
sub-001_task-N170_eeg,513.4043,0.3000,525727,stimulus,NA,72,NA
sub-001_task-N170_eeg,514.9873,0.3000,527348,stimulus,NA,68,2.9172
sub-001_task-N170_eeg,516.5205,0.3000,528918,stimulus,NA,49,NA
sub-001_task-N170_eeg,519.5361,0.3000,532006,stimulus,NA,36,-11.5019
sub-001_task-N170_eeg,524.2676,0.3000,536851,stimulus,NA,14,10.9294
sub-001_task-N170_eeg,525.7666,0.3000,538386,stimulus,NA,26,-4.7148
sub-001_task-N170_eeg,531.7646,0.3000,544528,stimulus,NA,5,-0.7347
sub-001_task-N170_eeg,533.2305,0.3000,546029,stimulus,NA,11,5.0276
sub-001_task-N170_eeg,550.1914,0.3000,563397,stimulus,NA,16,19.2167
sub-001_task-N170_eeg,553.1738,0.3000,566451,stimulus,NA,79,20.5704
sub-001_task-N170_eeg,556.1064,0.3000,569454,stimulus,NA,48,NA
sub-001_task-N170_eeg,557.5225,0.3000,570904,stimulus,NA,2,NA
sub-001_task-N170_eeg,558.9717,0.3000,572388,stimulus,NA,23,6.5547
sub-001_task-N170_eeg,560.5381,0.3000,573992,stimulus,NA,73,2.9898
sub-001_task-N170_eeg,562.1377,0.3000,575630,stimulus,NA,33,22.5794
sub-001_task-N170_eeg,565.0859,0.3000,578649,stimulus,NA,46,10.0368
sub-001_task-N170_eeg,566.5693,0.3000,580168,stimulus,NA,65,14.9029
sub-001_task-N170_eeg,569.6514,0.3000,583324,stimulus,NA,69,0.3339
sub-001_task-N170_eeg,571.1338,0.3000,584842,stimulus,NA,1,-2.2962
sub-001_task-N170_eeg,575.7822,0.3000,589602,stimulus,NA,12,NA
sub-001_task-N170_eeg,578.7812,0.3000,592673,stimulus,NA,78,NA
sub-001_task-N170_eeg,583.2295,0.3000,597228,stimulus,NA,40,7.2172
sub-001_task-N170_eeg,589.1611,0.3000,603302,stimulus,NA,7,12.4493
sub-001_task-N170_eeg,592.1602,0.3000,606373,stimulus,NA,30,7.8803
sub-001_task-N170_eeg,595.2256,0.3000,609512,stimulus,NA,32,3.3039
sub-001_task-N170_eeg,598.1748,0.3000,612532,stimulus,NA,22,-0.2592
sub-001_task-N170_eeg,601.0898,0.3000,615517,stimulus,NA,29,-8.1678
sub-001_task-N170_eeg,605.8047,0.3000,620345,stimulus,NA,51,5.5916
sub-001_task-N170_eeg,607.3877,0.3000,621966,stimulus,NA,8,1.3120
sub-001_task-N170_eeg,608.9873,0.3000,623604,stimulus,NA,77,-5.2753
sub-001_task-N170_eeg,618.9170,0.3000,633772,stimulus,NA,64,3.1834
sub-001_task-N170_eeg,621.9990,0.3000,636928,stimulus,NA,44,-10.3431
sub-001_task-N170_eeg,625.0146,0.3000,640016,stimulus,NA,13,NA
sub-001_task-N170_eeg,626.4141,0.3000,641449,stimulus,NA,15,NA
sub-001_task-N170_eeg,627.9639,0.3000,643036,stimulus,NA,52,-0.4829
sub-001_task-N170_eeg,632.3623,0.3000,647540,stimulus,NA,47,-4.4796
sub-001_task-N170_eeg,638.4102,0.3000,653733,stimulus,NA,20,6.0211
sub-001_task-N170_eeg,639.8760,0.3000,655234,stimulus,NA,62,8.5633
sub-001_task-N170_eeg,642.8086,0.3000,658237,stimulus,NA,53,-6.4918
sub-001_task-N170_eeg,645.8906,0.3000,661393,stimulus,NA,38,9.3054
sub-001_task-N170_eeg,647.4570,0.3000,662997,stimulus,NA,17,0.8348
sub-001_task-N170_eeg,654.7207,0.3000,670435,stimulus,NA,21,3.9577
sub-001_task-N170_eeg,659.2363,0.3000,675059,stimulus,NA,25,11.7763
sub-001_task-N170_eeg,665.1006,0.3000,681064,stimulus,NA,27,-3.6132
sub-001_task-N170_eeg,674.2803,0.3000,690464,stimulus,NA,35,-3.2752
sub-002_task-N170_eeg,37.3994,0.3000,38298,stimulus,NA,1,5.6931
sub-002_task-N170_eeg,41.8809,0.3000,42887,stimulus,NA,55,12.6204
sub-002_task-N170_eeg,43.3477,0.3000,44389,stimulus,NA,25,7.0852
sub-002_task-N170_eeg,52.2109,0.3000,53465,stimulus,NA,43,7.8062
sub-002_task-N170_eeg,55.2598,0.3000,56587,stimulus,NA,4,4.1194
sub-002_task-N170_eeg,58.3252,0.3000,59726,stimulus,NA,61,11.8132
sub-002_task-N170_eeg,62.9072,0.3000,64418,stimulus,NA,57,9.8275
sub-002_task-N170_eeg,65.9229,0.3000,67506,stimulus,NA,54,3.3855
sub-002_task-N170_eeg,68.8545,0.3000,70508,stimulus,NA,3,6.5391
sub-002_task-N170_eeg,71.8867,0.3000,73613,stimulus,NA,33,-2.1651
sub-002_task-N170_eeg,74.7861,0.3000,76582,stimulus,NA,53,7.6059
sub-002_task-N170_eeg,76.2021,0.3000,78032,stimulus,NA,78,6.3989
sub-002_task-N170_eeg,77.7852,0.3000,79653,stimulus,NA,47,12.1915
sub-002_task-N170_eeg,79.3672,0.3000,81273,stimulus,NA,32,1.7060
sub-002_task-N170_eeg,80.7842,0.3000,82724,stimulus,NA,80,6.1175
sub-002_task-N170_eeg,82.2666,0.3000,84242,stimulus,NA,27,14.8048
sub-002_task-N170_eeg,86.9814,0.3000,89070,stimulus,NA,20,-0.7189
sub-002_task-N170_eeg,88.5811,0.3000,90708,stimulus,NA,64,4.2028
sub-002_task-N170_eeg,91.5635,0.3000,93762,stimulus,NA,75,4.5009
sub-002_task-N170_eeg,93.0957,0.3000,95331,stimulus,NA,41,3.3300
sub-002_task-N170_eeg,94.5791,0.3000,96850,stimulus,NA,34,3.9000
sub-002_task-N170_eeg,96.0947,0.3000,98402,stimulus,NA,72,10.4075
sub-002_task-N170_eeg,117.6543,0.3000,120479,stimulus,NA,26,3.1884
sub-002_task-N170_eeg,119.1699,0.3000,122031,stimulus,NA,40,7.7509
sub-002_task-N170_eeg,123.5518,0.3000,126518,stimulus,NA,6,7.4373
sub-002_task-N170_eeg,132.5654,0.3000,135748,stimulus,NA,8,-3.4711
sub-002_task-N170_eeg,136.8975,0.3000,140184,stimulus,NA,63,8.6333
sub-002_task-N170_eeg,139.9629,0.3000,143323,stimulus,NA,7,-0.8546
sub-002_task-N170_eeg,141.5293,0.3000,144927,stimulus,NA,36,9.3868
sub-002_task-N170_eeg,145.9609,0.3000,149465,stimulus,NA,48,5.4622
sub-002_task-N170_eeg,149.0264,0.3000,152604,stimulus,NA,56,8.6675
sub-002_task-N170_eeg,150.5254,0.3000,154139,stimulus,NA,77,1.1015
sub-002_task-N170_eeg,156.6904,0.3000,160452,stimulus,NA,28,6.1588
sub-002_task-N170_eeg,159.6221,0.3000,163454,stimulus,NA,22,-1.0556
sub-002_task-N170_eeg,168.9355,0.3000,172991,stimulus,NA,17,6.8106
sub-002_task-N170_eeg,170.5352,0.3000,174629,stimulus,NA,58,7.2861
sub-002_task-N170_eeg,173.6338,0.3000,177802,stimulus,NA,60,6.5346
sub-002_task-N170_eeg,196.2764,0.3000,200988,stimulus,NA,23,7.7249
sub-002_task-N170_eeg,197.7588,0.3000,202506,stimulus,NA,30,-5.5054
sub-002_task-N170_eeg,199.2080,0.3000,203990,stimulus,NA,46,2.8108
sub-002_task-N170_eeg,200.7578,0.3000,205577,stimulus,NA,18,9.5461
sub-002_task-N170_eeg,209.7207,0.3000,214755,stimulus,NA,12,11.7656
sub-002_task-N170_eeg,211.2539,0.3000,216325,stimulus,NA,10,8.9331
sub-002_task-N170_eeg,214.1699,0.3000,219311,stimulus,NA,62,15.3511
sub-002_task-N170_eeg,215.6523,0.3000,220829,stimulus,NA,11,7.1996
sub-002_task-N170_eeg,218.6846,0.3000,223934,stimulus,NA,66,0.9062
sub-002_task-N170_eeg,220.1846,0.3000,225470,stimulus,NA,50,-8.9515
sub-002_task-N170_eeg,221.6670,0.3000,226988,stimulus,NA,14,2.6532
sub-002_task-N170_eeg,226.2988,0.3000,231731,stimulus,NA,70,15.5825
sub-002_task-N170_eeg,229.2646,0.3000,234768,stimulus,NA,24,-2.2970
sub-002_task-N170_eeg,232.3633,0.3000,237941,stimulus,NA,44,10.2287
sub-002_task-N170_eeg,235.2119,0.3000,240858,stimulus,NA,74,9.1945
sub-002_task-N170_eeg,236.6777,0.3000,242359,stimulus,NA,68,4.9426
sub-002_task-N170_eeg,244.3252,0.3000,250190,stimulus,NA,15,1.3668
sub-002_task-N170_eeg,247.3906,0.3000,253329,stimulus,NA,29,7.0985
sub-002_task-N170_eeg,250.2568,0.3000,256264,stimulus,NA,5,-0.9006
sub-002_task-N170_eeg,251.7559,0.3000,257799,stimulus,NA,69,NA
sub-002_task-N170_eeg,274.8311,0.3000,281428,stimulus,NA,9,9.9722
sub-002_task-N170_eeg,276.3311,0.3000,282964,stimulus,NA,65,-2.4521
sub-002_task-N170_eeg,277.8467,0.3000,284516,stimulus,NA,16,0.9384
sub-002_task-N170_eeg,280.8457,0.3000,287587,stimulus,NA,76,8.8874
sub-002_task-N170_eeg,282.4121,0.3000,289191,stimulus,NA,71,12.8639
sub-002_task-N170_eeg,291.6924,0.3000,298694,stimulus,NA,13,5.2336
sub-002_task-N170_eeg,297.6729,0.3000,304818,stimulus,NA,21,5.1842
sub-002_task-N170_eeg,299.2061,0.3000,306388,stimulus,NA,49,-3.7437
sub-002_task-N170_eeg,300.6719,0.3000,307889,stimulus,NA,2,14.2191
sub-002_task-N170_eeg,303.7207,0.3000,311011,stimulus,NA,31,12.1174
sub-002_task-N170_eeg,306.7861,0.3000,314150,stimulus,NA,45,2.1772
sub-002_task-N170_eeg,309.8184,0.3000,317255,stimulus,NA,59,12.2026
sub-002_task-N170_eeg,315.8330,0.3000,323414,stimulus,NA,35,10.6646
sub-002_task-N170_eeg,317.2832,0.3000,324899,stimulus,NA,42,-5.4320
sub-002_task-N170_eeg,318.6992,0.3000,326349,stimulus,NA,37,-1.7505
sub-002_task-N170_eeg,320.2812,0.3000,327969,stimulus,NA,19,9.8319
sub-002_task-N170_eeg,321.8477,0.3000,329573,stimulus,NA,73,10.2828
sub-002_task-N170_eeg,323.4473,0.3000,331211,stimulus,NA,39,6.7867
sub-002_task-N170_eeg,326.5293,0.3000,334367,stimulus,NA,79,4.6854
sub-002_task-N170_eeg,329.4951,0.3000,337404,stimulus,NA,67,2.4630
sub-002_task-N170_eeg,357.2188,0.3000,365793,stimulus,NA,38,22.8246
sub-002_task-N170_eeg,360.4004,0.3000,369051,stimulus,NA,51,2.7890
sub-002_task-N170_eeg,364.8662,0.3000,373624,stimulus,NA,35,0.9162
sub-002_task-N170_eeg,366.4482,0.3000,375244,stimulus,NA,52,12.5030
sub-002_task-N170_eeg,368.0312,0.3000,376865,stimulus,NA,76,10.2741
sub-002_task-N170_eeg,369.6143,0.3000,378486,stimulus,NA,8,16.0192
sub-002_task-N170_eeg,372.6465,0.3000,381591,stimulus,NA,43,15.3902
sub-002_task-N170_eeg,374.1123,0.3000,383092,stimulus,NA,80,21.2251
sub-002_task-N170_eeg,375.7119,0.3000,384730,stimulus,NA,40,-1.5500
sub-002_task-N170_eeg,377.2783,0.3000,386334,stimulus,NA,25,-3.7176
sub-002_task-N170_eeg,378.8105,0.3000,387903,stimulus,NA,49,4.4623
sub-002_task-N170_eeg,380.4102,0.3000,389541,stimulus,NA,18,14.0094
sub-002_task-N170_eeg,381.8096,0.3000,390974,stimulus,NA,73,7.8914
sub-002_task-N170_eeg,383.2422,0.3000,392441,stimulus,NA,39,4.8048
sub-002_task-N170_eeg,384.7754,0.3000,394011,stimulus,NA,11,-2.4150
sub-002_task-N170_eeg,396.6709,0.3000,406192,stimulus,NA,28,11.8320
sub-002_task-N170_eeg,401.1357,0.3000,410764,stimulus,NA,58,6.8762
sub-002_task-N170_eeg,405.5684,0.3000,415303,stimulus,NA,72,10.7005
sub-002_task-N170_eeg,407.0342,0.3000,416804,stimulus,NA,63,1.2227
sub-002_task-N170_eeg,411.7490,0.3000,421632,stimulus,NA,67,15.3746
sub-002_task-N170_eeg,434.9404,0.3000,445380,stimulus,NA,51,5.0688
sub-002_task-N170_eeg,436.4736,0.3000,446950,stimulus,NA,19,5.9959
sub-002_task-N170_eeg,439.4062,0.3000,449953,stimulus,NA,66,10.4519
sub-002_task-N170_eeg,446.7529,0.3000,457476,stimulus,NA,20,2.1690
sub-002_task-N170_eeg,448.2695,0.3000,459029,stimulus,NA,12,16.1095
sub-002_task-N170_eeg,451.3682,0.3000,462202,stimulus,NA,74,7.3772
sub-002_task-N170_eeg,452.8848,0.3000,463755,stimulus,NA,50,11.7258
sub-002_task-N170_eeg,458.7490,0.3000,469760,stimulus,NA,14,5.6821
sub-002_task-N170_eeg,460.1816,0.3000,471227,stimulus,NA,42,7.6961
sub-002_task-N170_eeg,461.7812,0.3000,472865,stimulus,NA,37,15.5720
sub-002_task-N170_eeg,463.3477,0.3000,474469,stimulus,NA,36,-1.5553
sub-002_task-N170_eeg,464.7637,0.3000,475919,stimulus,NA,13,11.9932
sub-002_task-N170_eeg,466.3125,0.3000,477505,stimulus,NA,64,12.2780
sub-002_task-N170_eeg,467.8291,0.3000,479058,stimulus,NA,52,10.1341
sub-002_task-N170_eeg,470.8945,0.3000,482197,stimulus,NA,56,10.2173
sub-002_task-N170_eeg,472.3438,0.3000,483681,stimulus,NA,10,10.1759
sub-002_task-N170_eeg,473.7939,0.3000,485166,stimulus,NA,41,0.0915
sub-002_task-N170_eeg,476.7256,0.3000,488168,stimulus,NA,9,17.8495
sub-002_task-N170_eeg,478.2090,0.3000,489687,stimulus,NA,2,5.7320
sub-002_task-N170_eeg,479.8086,0.3000,491325,stimulus,NA,5,6.1387
sub-002_task-N170_eeg,481.3906,0.3000,492945,stimulus,NA,77,13.4131
sub-002_task-N170_eeg,487.4385,0.3000,499138,stimulus,NA,1,5.7969
sub-002_task-N170_eeg,489.0049,0.3000,500742,stimulus,NA,44,5.3735
sub-002_task-N170_eeg,492.1533,0.3000,503966,stimulus,NA,68,14.9255
sub-002_task-N170_eeg,519.7441,0.3000,532219,stimulus,NA,65,1.0292
sub-002_task-N170_eeg,522.7432,0.3000,535290,stimulus,NA,32,5.7209
sub-002_task-N170_eeg,525.8252,0.3000,538446,stimulus,NA,4,11.9397
sub-002_task-N170_eeg,530.4570,0.3000,543189,stimulus,NA,78,16.2473
sub-002_task-N170_eeg,531.9062,0.3000,544673,stimulus,NA,79,0.4423
sub-002_task-N170_eeg,540.8193,0.3000,553800,stimulus,NA,33,1.4370
sub-002_task-N170_eeg,545.1348,0.3000,558219,stimulus,NA,15,6.7908
sub-002_task-N170_eeg,546.6006,0.3000,559720,stimulus,NA,61,1.9668
sub-002_task-N170_eeg,548.1172,0.3000,561273,stimulus,NA,6,13.7470
sub-002_task-N170_eeg,549.6504,0.3000,562843,stimulus,NA,55,6.5546
sub-002_task-N170_eeg,551.1494,0.3000,564378,stimulus,NA,59,-2.9677
sub-002_task-N170_eeg,557.0469,0.3000,570417,stimulus,NA,31,-0.1556
sub-002_task-N170_eeg,558.5137,0.3000,571919,stimulus,NA,75,11.4110
sub-002_task-N170_eeg,559.9961,0.3000,573437,stimulus,NA,29,12.7036
sub-002_task-N170_eeg,562.9619,0.3000,576474,stimulus,NA,53,11.3598
sub-002_task-N170_eeg,564.3779,0.3000,577924,stimulus,NA,54,3.1573
sub-002_task-N170_eeg,568.8096,0.3000,582462,stimulus,NA,3,9.0933
sub-002_task-N170_eeg,574.7246,0.3000,588519,stimulus,NA,48,8.1797
sub-002_task-N170_eeg,605.2471,0.3000,619774,stimulus,NA,45,5.4469
sub-002_task-N170_eeg,606.6963,0.3000,621258,stimulus,NA,70,14.6462
sub-002_task-N170_eeg,608.1123,0.3000,622708,stimulus,NA,17,10.7048
sub-002_task-N170_eeg,609.6621,0.3000,624295,stimulus,NA,71,3.3231
sub-002_task-N170_eeg,611.2275,0.3000,625898,stimulus,NA,60,7.1860
sub-002_task-N170_eeg,612.6943,0.3000,627400,stimulus,NA,34,-2.1539
sub-002_task-N170_eeg,615.8594,0.3000,630641,stimulus,NA,23,7.2404
sub-002_task-N170_eeg,623.5234,0.3000,638489,stimulus,NA,69,13.9788
sub-002_task-N170_eeg,624.9893,0.3000,639990,stimulus,NA,62,4.3082
sub-002_task-N170_eeg,626.4395,0.3000,641475,stimulus,NA,47,12.0222
sub-002_task-N170_eeg,632.6035,0.3000,647787,stimulus,NA,38,8.0548
sub-002_task-N170_eeg,634.1367,0.3000,649357,stimulus,NA,21,9.1680
sub-002_task-N170_eeg,637.0684,0.3000,652359,stimulus,NA,24,9.9117
sub-002_task-N170_eeg,638.5684,0.3000,653895,stimulus,NA,30,9.8741
sub-002_task-N170_eeg,644.6162,0.3000,660088,stimulus,NA,7,-1.2948
sub-002_task-N170_eeg,646.1826,0.3000,661692,stimulus,NA,22,4.1084
sub-002_task-N170_eeg,647.6650,0.3000,663210,stimulus,NA,57,5.3104
sub-002_task-N170_eeg,649.2148,0.3000,664797,stimulus,NA,27,3.1767
sub-002_task-N170_eeg,655.0459,0.3000,670768,stimulus,NA,16,3.0201
sub-002_task-N170_eeg,658.0117,0.3000,673805,stimulus,NA,46,0.0274
sub-002_task-N170_eeg,659.5107,0.3000,675340,stimulus,NA,26,8.1299
sub-003_task-N170_eeg,8.9902,0.3000,9207,stimulus,NA,56,15.5210
sub-003_task-N170_eeg,13.3887,0.3000,13711,stimulus,NA,71,20.3148
sub-003_task-N170_eeg,16.5039,0.3000,16901,stimulus,NA,4,21.3316
sub-003_task-N170_eeg,22.5020,0.3000,23043,stimulus,NA,23,10.1182
sub-003_task-N170_eeg,24.0850,0.3000,24664,stimulus,NA,27,16.2479
sub-003_task-N170_eeg,25.6846,0.3000,26302,stimulus,NA,43,20.5829
sub-003_task-N170_eeg,27.1172,0.3000,27769,stimulus,NA,38,7.5661
sub-003_task-N170_eeg,28.5996,0.3000,29287,stimulus,NA,28,10.8640
sub-003_task-N170_eeg,36.1973,0.3000,37067,stimulus,NA,75,17.7472
sub-003_task-N170_eeg,37.7637,0.3000,38671,stimulus,NA,24,12.1776
sub-003_task-N170_eeg,39.3125,0.3000,40257,stimulus,NA,36,7.0872
